Gene_Name	Normal_Score	Disease_Score	Association_Score	Association_Score_Scaled	Transcribed in normal/Disease
COG3	8	244	252	65.95	Disease
BAT2L	6	246	252	65.95	Disease
MRPL27	8	244	252	65.95	Disease
CHST12	14	238	252	65.95	Disease
PPAN	22	230	252	65.95	Disease
PAFAH1B3	24	228	252	65.95	Disease
C11orf17	6	246	252	65.95	Disease
RAG1AP1	12	240	252	65.95	Disease
KRT31	6	244	250	65.43	Normal
LACTB	8	242	250	65.43	Disease
MST1R	8	242	250	65.43	Disease
GRIPAP1	8	242	250	65.43	Disease
TWSG1	4	246	250	65.43	Disease
SOX12	12	238	250	65.43	Disease
MCM10	16	234	250	65.43	Disease
PFAS	16	234	250	65.43	Disease
DCAF17	30	220	250	65.43	Disease
PRMT6	8	242	250	65.43	Disease
ARL13B	4	246	250	65.43	Disease
MRPL17	20	230	250	65.43	Disease
HAUS6	6	244	250	65.43	Disease
NSUN2	8	242	250	65.43	Disease
NAGPA	22	228	250	65.43	Disease
TRIM52	16	234	250	65.43	Disease
DNASE1L1	8	242	250	65.43	Disease
SIPA1L3	30	220	250	65.43	Disease
GTPBP5	6	244	250	65.43	Disease
FUT8	20	230	250	65.43	Disease
CLPP	8	242	250	65.43	Disease
CTH	40	210	250	65.43	Disease
PRKAB1	12	238	250	65.43	Disease
C16orf57	26	224	250	65.43	Disease
DCLRE1B	34	216	250	65.43	Disease
TBL3	12	236	248	64.9	Disease
HJURP	42	206	248	64.9	Disease
CCDC85B	2	246	248	64.9	Disease
TACC3	30	218	248	64.9	Disease
UHRF1	4	244	248	64.9	Disease
MAP1S	32	216	248	64.9	Disease
PTPLA	24	224	248	64.9	Disease
STS	6	242	248	64.9	Disease
LZIC	4	244	248	64.9	Disease
TMEM223	30	218	248	64.9	Disease
ZSCAN16	12	236	248	64.9	Disease
EFCAB2	10	238	248	64.9	Disease
ARRDC1	2	246	248	64.9	Disease
LARP6	14	234	248	64.9	Disease
RIPK2	34	214	248	64.9	Disease
DEFB4	6	240	246	64.38	Normal
CMTM4	4	242	246	64.38	Disease
ERGIC1	6	240	246	64.38	Disease
CDCA3	2	244	246	64.38	Disease
HPS3	8	238	246	64.38	Disease
ASB6	24	222	246	64.38	Disease
MFHAS1	4	242	246	64.38	Disease
DDX6	12	234	246	64.38	Disease
MRPS34	30	216	246	64.38	Disease
MRPL4	14	232	246	64.38	Disease
ZNRF2	4	242	246	64.38	Disease
EXOC6	4	242	246	64.38	Disease
ADAT1	28	218	246	64.38	Disease
PCGF6	6	240	246	64.38	Disease
MEIS3P1	6	240	246	64.38	Disease
CCDC113	12	232	244	63.86	Disease
TIMM22	28	216	244	63.86	Disease
C15orf44	4	240	244	63.86	Disease
ZC3H18	6	238	244	63.86	Disease
E4F1	6	238	244	63.86	Disease
COX18	16	228	244	63.86	Disease
WARS2	4	240	244	63.86	Disease
SPATA13	2	242	244	63.86	Disease
SRXN1	6	238	244	63.86	Disease
DHX8	8	236	244	63.86	Disease
ERI3	30	214	244	63.86	Disease
PHF5A	6	238	244	63.86	Disease
DAK	30	214	244	63.86	Disease
SC65	30	214	244	63.86	Disease
DSCC1	34	210	244	63.86	Disease
RG9MTD1	10	234	244	63.86	Disease
KIF18A	2	242	244	63.86	Disease
GPR125	6	238	244	63.86	Disease
ZNF26	4	240	244	63.86	Disease
C22orf39	4	240	244	63.86	Disease
ANAPC2	32	212	244	63.86	Disease
SNAPIN	6	236	242	63.33	Disease
NT5C3L	6	236	242	63.33	Disease
SF4	22	220	242	63.33	Disease
BAIAP2L1	8	234	242	63.33	Disease
C20orf72	6	236	242	63.33	Disease
C11orf82	12	230	242	63.33	Disease
REXO4	34	208	242	63.33	Disease
TMEM216	6	236	242	63.33	Disease
RNF216	8	234	242	63.33	Disease
TBRG4	36	206	242	63.33	Disease
NCEH1	4	238	242	63.33	Disease
KIAA1429	4	238	242	63.33	Disease
Magmas	6	236	242	63.33	Disease
ITPA	18	224	242	63.33	Disease
EXOC2	18	224	242	63.33	Disease
VPS18	12	230	242	63.33	Disease
SYMPK	2	240	242	63.33	Disease
HOXC10	8	234	242	63.33	Disease
AGPAT3	2	240	242	63.33	Disease
C7orf20	8	234	242	63.33	Disease
ANKFY1	2	240	242	63.33	Disease
CALCOCO1	4	238	242	63.33	Disease
C8orf76	6	236	242	63.33	Disease
LONRF3	10	232	242	63.33	Disease
UTP20	36	206	242	63.33	Disease
UBE2T	12	230	242	63.33	Disease
ERCC6L	34	208	242	63.33	Disease
TMEM8A	30	210	240	62.81	Disease
FLJ36031	2	238	240	62.81	Disease
FZD2	22	218	240	62.81	Disease
CD320	38	202	240	62.81	Disease
KLK12	40	200	240	62.81	Normal
CLDN8	40	200	240	62.81	Normal
RNF181	8	232	240	62.81	Disease
VEZT	6	234	240	62.81	Disease
SLC19A1	30	210	240	62.81	Disease
PRPF38A	2	238	240	62.81	Disease
DUSP16	2	238	240	62.81	Disease
ALG3	38	202	240	62.81	Disease
C3orf1	6	234	240	62.81	Disease
TMEM132A	26	214	240	62.81	Disease
KLHL5	4	236	240	62.81	Disease
PELP1	22	218	240	62.81	Disease
RECQL4	42	198	240	62.81	Disease
C19orf61	16	224	240	62.81	Disease
RPL23AP7	22	216	238	62.29	Disease
C1orf163	8	230	238	62.29	Disease
FAM173B	4	234	238	62.29	Disease
PHF19	2	236	238	62.29	Disease
DNAJC3	34	204	238	62.29	Disease
DNAJC14	8	230	238	62.29	Disease
PHF2	4	234	238	62.29	Disease
FANCA	42	196	238	62.29	Disease
MRPL37	8	230	238	62.29	Disease
PDIK1L	2	236	238	62.29	Disease
ANTXR1	6	232	238	62.29	Disease
ZNF800	12	226	238	62.29	Disease
KTI12	8	230	238	62.29	Disease
USP19	10	228	238	62.29	Disease
GSTCD	6	232	238	62.29	Disease
KLHL23	10	228	238	62.29	Disease
FBXL6	22	216	238	62.29	Disease
ZNF580	30	206	236	61.76	Disease
GPAM	2	234	236	61.76	Disease
PIN1	34	202	236	61.76	Disease
GTPBP1	8	228	236	61.76	Disease
TMEM219	14	222	236	61.76	Disease
FEM1A	2	234	236	61.76	Disease
RNPC3	2	234	236	61.76	Disease
ALG10	16	220	236	61.76	Disease
C17orf62	10	226	236	61.76	Disease
MCM8	2	234	236	61.76	Disease
EPHB2	14	222	236	61.76	Disease
FBXO41	30	206	236	61.76	Disease
ZNF184	36	200	236	61.76	Disease
PPCDC	38	198	236	61.76	Disease
CAMTA1	10	226	236	61.76	Disease
ITM2C	28	208	236	61.76	Disease
CDK5RAP2	12	224	236	61.76	Disease
TDP1	22	214	236	61.76	Disease
HOXB6	10	226	236	61.76	Disease
LY6E	2	234	236	61.76	Disease
CBX4	10	226	236	61.76	Disease
ACD	24	212	236	61.76	Disease
SCYL1	8	228	236	61.76	Disease
MRPL14	8	228	236	61.76	Disease
SPATA2	4	230	234	61.24	Disease
FBXW5	4	230	234	61.24	Disease
CRNN	34	200	234	61.24	Normal
UNKL	10	224	234	61.24	Disease
RNF40	20	214	234	61.24	Disease
APOA1BP	10	224	234	61.24	Disease
TMEM160	18	216	234	61.24	Disease
DCPS	20	214	234	61.24	Disease
EIF5A2	26	208	234	61.24	Disease
C3orf23	4	230	234	61.24	Disease
COG1	8	226	234	61.24	Disease
PRKACA	18	216	234	61.24	Disease
MOV10	6	228	234	61.24	Disease
SLC44A1	2	232	234	61.24	Disease
KIAA1244	2	232	234	61.24	Disease
BRWD3	2	232	234	61.24	Disease
C2orf18	2	232	234	61.24	Disease
CX3CR1	4	230	234	61.24	Normal
SUV39H2	42	190	232	60.71	Disease
PDLIM7	28	204	232	60.71	Disease
MLST8	30	202	232	60.71	Disease
OBFC2B	18	214	232	60.71	Disease
WDR33	8	224	232	60.71	Disease
THOC4	8	224	232	60.71	Disease
SLC38A7	12	220	232	60.71	Disease
C19orf6	14	218	232	60.71	Disease
NADSYN1	2	230	232	60.71	Disease
RPAP2	22	210	232	60.71	Disease
CRCT1	42	190	232	60.71	Normal
CYP2C18	40	192	232	60.71	Normal
GEMIN5	6	226	232	60.71	Disease
ZSCAN22	8	224	232	60.71	Disease
ZNF398	4	228	232	60.71	Disease
PCOLCE2	10	222	232	60.71	Disease
ATP6V0A2	10	222	232	60.71	Disease
PPIL1	8	224	232	60.71	Disease
ELOF1	8	224	232	60.71	Disease
MTP18	4	228	232	60.71	Disease
C5orf54	26	206	232	60.71	Disease
DPP3	34	196	230	60.19	Disease
PIGO	6	224	230	60.19	Disease
C1orf112	40	190	230	60.19	Disease
DNAJC5	8	222	230	60.19	Disease
WDR5	8	222	230	60.19	Disease
RCCD1	10	220	230	60.19	Disease
SCO1	12	218	230	60.19	Disease
ECE1	14	216	230	60.19	Disease
TRUB2	12	218	230	60.19	Disease
TMEM138	6	224	230	60.19	Disease
SFRS13A	2	228	230	60.19	Disease
SMAP2	16	214	230	60.19	Disease
B3GAT3	42	188	230	60.19	Disease
MED10	12	218	230	60.19	Disease
ZNF193	22	208	230	60.19	Disease
ZFHX3	4	226	230	60.19	Disease
C19orf25	10	220	230	60.19	Disease
CENPE	38	192	230	60.19	Disease
IGF2BP2	22	208	230	60.19	Disease
VEGFB	38	192	230	60.19	Disease
NKIRAS1	4	226	230	60.19	Disease
LRRC42	16	214	230	60.19	Disease
CLK2	28	202	230	60.19	Disease
DOCK5	8	222	230	60.19	Disease
GPR180	10	220	230	60.19	Disease
ARFIP2	10	220	230	60.19	Disease
BTN2A2	8	222	230	60.19	Disease
LZTR1	20	208	228	59.67	Disease
IQCE	8	220	228	59.67	Disease
HS1BP3	14	214	228	59.67	Disease
OCEL1	28	200	228	59.67	Disease
BAP1	16	212	228	59.67	Disease
ANKRD39	10	218	228	59.67	Disease
C21orf70	2	226	228	59.67	Disease
SLC25A22	10	218	228	59.67	Disease
NKAP	8	220	228	59.67	Disease
PLEKHA2	26	202	228	59.67	Disease
LEO1	8	220	228	59.67	Disease
C9orf69	8	220	228	59.67	Disease
ZCCHC4	10	218	228	59.67	Disease
ASB7	36	192	228	59.67	Disease
SAMHD1	4	224	228	59.67	Disease
WIZ	20	208	228	59.67	Disease
FLNC	2	224	226	59.14	Disease
ATAD3B	4	222	226	59.14	Disease
DNAJC6	38	188	226	59.14	Disease
NANP	8	218	226	59.14	Disease
PDRG1	6	220	226	59.14	Disease
SLC25A19	8	218	226	59.14	Disease
TCTA	6	220	226	59.14	Disease
PYCR2	10	216	226	59.14	Disease
PIAS3	8	218	226	59.14	Disease
ZCCHC9	4	222	226	59.14	Disease
SPNS1	8	218	226	59.14	Disease
NFKB2	10	216	226	59.14	Disease
P2RX4	10	216	226	59.14	Disease
FAM149B1	26	200	226	59.14	Disease
GNPTG	8	218	226	59.14	Disease
TCEAL8	4	222	226	59.14	Disease
ZMYND19	8	218	226	59.14	Disease
TTC26	26	200	226	59.14	Disease
PSMB10	2	224	226	59.14	Disease
C11orf71	10	216	226	59.14	Disease
ROMO1	8	218	226	59.14	Disease
ODF2	36	190	226	59.14	Disease
NCLN	38	188	226	59.14	Disease
SEC11C	4	222	226	59.14	Disease
JAGN1	4	222	226	59.14	Disease
TDRKH	10	216	226	59.14	Disease
MED11	2	222	224	58.62	Disease
CHAF1B	44	180	224	58.62	Disease
PACS1	10	214	224	58.62	Disease
CYTSB	16	208	224	58.62	Disease
PHLPP2	40	184	224	58.62	Disease
C1orf53	8	216	224	58.62	Disease
CNN2	10	214	224	58.62	Disease
CCDC104	8	216	224	58.62	Disease
SYAP1	8	216	224	58.62	Disease
NIPA1	6	218	224	58.62	Disease
METTL11A	8	216	224	58.62	Disease
VPS53	8	216	224	58.62	Disease
ALG1	16	208	224	58.62	Disease
HSPG2	10	214	224	58.62	Disease
INPPL1	24	200	224	58.62	Disease
C14orf142	12	212	224	58.62	Disease
NOB1	8	216	224	58.62	Disease
TUBGCP5	8	216	224	58.62	Disease
SKA1	28	196	224	58.62	Disease
LDB2	20	204	224	58.62	Normal
TMEM35	8	216	224	58.62	Normal
KIAA0319L	10	214	224	58.62	Disease
ALOX12B	12	210	222	58.1	Normal
SPRR2C	20	202	222	58.1	Normal
C5orf32	2	220	222	58.1	Disease
C22orf13	4	218	222	58.1	Disease
MOGS	14	208	222	58.1	Disease
KDELC1	12	210	222	58.1	Disease
PHF12	16	206	222	58.1	Disease
ZC3H10	2	220	222	58.1	Disease
XRN2	16	206	222	58.1	Disease
TADA3L	20	202	222	58.1	Disease
ZNF787	40	182	222	58.1	Disease
ARMC7	26	196	222	58.1	Disease
CDK5	24	198	222	58.1	Disease
C14orf21	8	214	222	58.1	Disease
DPH2	12	210	222	58.1	Disease
BCL2L12	16	206	222	58.1	Disease
C2orf44	38	184	222	58.1	Disease
DTYMK	12	210	222	58.1	Disease
PTCD2	34	188	222	58.1	Disease
SLURP1	32	190	222	58.1	Normal
ITGA3	36	186	222	58.1	Disease
MDP1	4	218	222	58.1	Disease
STC2	24	198	222	58.1	Disease
C7orf70	8	214	222	58.1	Disease
NOC2L	6	216	222	58.1	Disease
RBM45	8	214	222	58.1	Disease
RAB3D	34	188	222	58.1	Disease
TMEM18	4	218	222	58.1	Disease
TRIM23	6	214	220	57.57	Disease
C14orf179	4	216	220	57.57	Disease
C14orf167	4	216	220	57.57	Disease
ASB3	12	208	220	57.57	Disease
ATAD5	40	180	220	57.57	Disease
